brand,model,type,mp,optical_zoom,digital_zoom,screen_size,price,matches
gopro,hero 3+as,NULL,,,,,1.5,{'www.alibaba.com//34503'}
gopro,hero 4,NULL,,,,,,{'www.ebay.com//47752'}
gopro,hero 5,point & shoot,5.0,,,,,{'www.ebay.com//42217'}
gopro,hero gp110,NULL,,,,,10.0,{'www.alibaba.com//37772'}
gopro,hero2,NULL,2.1,,,,20.0,"{'www.ebay.com//44037', 'www.alibaba.com//34970'}"
gopro,hero3,NULL,12.0,1.0,,,,{'www.ebay.com//55863'}
gopro,hero4,NULL,,,,,12.19,"{'www.alibaba.com//29959', 'www.alibaba.com//37347', 'www.alibaba.com//26047', 'www.alibaba.com//36081', 'www.alibaba.com//36257', 'www.alibaba.com//35152', 'www.alibaba.com//25385', 'www.alibaba.com//24992', 'www.alibaba.com//37878'}"
gopro,NULL,NULL,,,,,7.85,{'www.alibaba.com//23304'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//23685'}
gopro,NULL,NULL,,,,,10.89,{'www.alibaba.com//23953'}
gopro,NULL,NULL,,,,,15.0,{'www.alibaba.com//24142'}
gopro,NULL,NULL,,,,,30.0,{'www.alibaba.com//24218'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//25395'}
gopro,NULL,NULL,,,,,8.68,{'www.alibaba.com//25553'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//25695'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//26509'}
gopro,NULL,NULL,,,,,10.0,{'www.alibaba.com//26587'}
gopro,NULL,NULL,,,,,,{'www.alibaba.com//26762'}
gopro,NULL,NULL,,,,,10.89,{'www.alibaba.com//26810'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//26948'}
gopro,NULL,NULL,,,,,10.89,{'www.alibaba.com//28481'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//29171'}
gopro,NULL,NULL,,,,,12.0,{'www.alibaba.com//29634'}
gopro,NULL,NULL,,,,,1.0,{'www.alibaba.com//29905'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//30047'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//30371'}
gopro,NULL,NULL,,,,,4.38,{'www.alibaba.com//30580'}
gopro,NULL,NULL,,,,,30.0,{'www.alibaba.com//32777'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//33097'}
gopro,NULL,NULL,,,,,10.0,{'www.alibaba.com//33252'}
gopro,NULL,NULL,,,,,6.68,{'www.alibaba.com//33893'}
gopro,NULL,NULL,,,,,4.38,{'www.alibaba.com//34375'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//34867'}
gopro,NULL,NULL,,,,,12.0,{'www.alibaba.com//35073'}
gopro,NULL,NULL,,,,,30.0,{'www.alibaba.com//35447'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//35785'}
gopro,NULL,NULL,,,,,10.0,{'www.alibaba.com//35830'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//36586'}
gopro,NULL,NULL,,,,,30.0,{'www.alibaba.com//37486'}
gopro,NULL,NULL,,,,,1.5,{'www.alibaba.com//5578'}
gopro,NULL,NULL,,,,,,{'www.ebay.com//24597'}
gopro,NULL,NULL,5.0,4.0,,,,{'www.ebay.com//43733'}
gopro,NULL,underwater,,,,,,{'www.ebay.com//44760'}
gopro,NULL,mini digital camera,,,,,,{'www.ebay.com//53804'}
gopro,NULL,hd sports,,,,,,{'www.ebay.com//57222'}
gopro,NULL,NULL,,,,,,{'www.ebay.com//58887'}
gopro,sj4000,NULL,,,,,,{'www.alibaba.com//36567'}
gopro,sx210,NULL,,,,,,{'www.alibaba.com//27383'}
gopro,sx220,NULL,,,,,,{'www.alibaba.com//28996'}
gopros,NULL,NULL,,,,,,{'www.alibaba.com//29921'}
hasselblad,cfv 39,digital slr,39.0,,,2.5,,{'www.ebay.com//54971'}
hasselblad,h3d,medium format interchangeable lens camera with reflex viewfinder and integrated digital back,39.0,,,,,{'www.ebay.com//53816'}
hasselblad,h4d 40,digital slr,40.0,,,3.0,,{'www.ebay.com//52721'}
hasselblad,h4d 50,digital slr,50.0,,,,,{'www.ebay.com//56688'}
hasselblad,h5d 50,NULL,50.0,,,,,"{'www.ebay.com//58978', 'www.ebay.com//58935'}"
hasselblad,hdv-604p,NULL,16.0,,,,100.0,{'www.alibaba.com//6748'}
hasselblad,lunar,point & shoot,12.0,5.0,,3.0,,{'www.ebay.com//45089'}
hasselblad,stellar,advanced,,3.6,,3.0,,"{'www.henrys.com//112', 'www.henrys.com//218', 'www.henrys.com//38', 'www.henrys.com//75', 'www.henrys.com//9', 'www.ebay.com//46724', 'www.henrys.com//102', 'www.ebay.com//24232', 'www.henrys.com//88', 'www.ebay.com//24669', 'www.henrys.com//83', 'www.ebay.com//56242', 'www.ebay.com//44819', 'www.ebay.com//44098'}"
hikvision,asb-p288gm-v1,NULL,,,,,30.0,{'www.alibaba.com//6957'}
hikvision,ds-2cd2032-i,NULL,3.0,,,,,"{'www.alibaba.com//29045', 'www.alibaba.com//27334', 'www.alibaba.com//24946', 'www.alibaba.com//22875', 'www.alibaba.com//24040', 'www.alibaba.com//33832', 'www.alibaba.com//34936', 'www.alibaba.com//36126', 'www.alibaba.com//25540', 'www.alibaba.com//23597', 'www.alibaba.com//23408', 'www.alibaba.com//34396', 'www.alibaba.com//36766', 'www.alibaba.com//35796', 'www.alibaba.com//29941', 'www.alibaba.com//25955', 'www.alibaba.com//27294', 'www.alibaba.com//25843', 'www.alibaba.com//37832', 'www.alibaba.com//23820', 'www.alibaba.com//34458', 'www.alibaba.com//36954', 'www.alibaba.com//26715', 'www.alibaba.com//26653', 'www.alibaba.com//23443', 'www.alibaba.com//37224', 'www.alibaba.com//24913', 'www.alibaba.com//33098', 'www.alibaba.com//29635', 'www.alibaba.com//37567', 'www.alibaba.com//37624', 'www.alibaba.com//29736', 'www.alibaba.com//26856', 'www.alibaba.com//25465', 'www.alibaba.com//23714', 'www.alibaba.com//23222', 'www.alibaba.com//29052', 'www.alibaba.com//27321', 'www.alibaba.com//25551', 'www.alibaba.com//34626', 'www.alibaba.com//24802', 'www.alibaba.com//25102', 'www.alibaba.com//26688', 'www.alibaba.com//27910', 'www.alibaba.com//33730', 'www.alibaba.com//34435', 'www.alibaba.com//30224', 'www.alibaba.com//26027', 'www.alibaba.com//34014', 'www.alibaba.com//26277', 'www.alibaba.com//28145', 'www.alibaba.com//24262', 'www.alibaba.com//28704', 'www.alibaba.com//23965', 'www.alibaba.com//34186', 'www.alibaba.com//37807', 'www.alibaba.com//35563', 'www.alibaba.com//36112', 'www.alibaba.com//27830', 'www.alibaba.com//28086', 'www.alibaba.com//29112', 'www.alibaba.com//37447', 'www.alibaba.com//35469', 'www.alibaba.com//27775', 'www.alibaba.com//29957', 'www.alibaba.com//23446', 'www.alibaba.com//34900', 'www.alibaba.com//33314', 'www.alibaba.com//30261', 'www.alibaba.com//35691', 'www.alibaba.com//30028', 'www.alibaba.com//32726', 'www.alibaba.com//24145', 'www.alibaba.com//29362', 'www.alibaba.com//34221', 'www.alibaba.com//26942', 'www.alibaba.com//29653', 'www.alibaba.com//28941', 'www.alibaba.com//29282', 'www.alibaba.com//25324', 'www.alibaba.com//22884', 'www.alibaba.com//37555', 'www.alibaba.com//26606', 'www.alibaba.com//24788', 'www.alibaba.com//26395', 'www.alibaba.com//24736', 'www.alibaba.com//37424', 'www.alibaba.com//28250', 'www.alibaba.com//33131', 'www.alibaba.com//27774', 'www.alibaba.com//26329', 'www.alibaba.com//24726'}"
hikvision,ds-2cd2612f-is,NULL,1.3,,,,,"{'www.alibaba.com//35026', 'www.alibaba.com//23111', 'www.alibaba.com//27564', 'www.alibaba.com//35730', 'www.alibaba.com//35165', 'www.alibaba.com//25206', 'www.alibaba.com//34506', 'www.alibaba.com//23182', 'www.alibaba.com//35412', 'www.alibaba.com//27786', 'www.alibaba.com//34532', 'www.alibaba.com//23891', 'www.alibaba.com//22772', 'www.alibaba.com//36528', 'www.alibaba.com//34398', 'www.alibaba.com//27966', 'www.alibaba.com//22959', 'www.alibaba.com//28011', 'www.alibaba.com//26749', 'www.alibaba.com//25037', 'www.alibaba.com//27518', 'www.alibaba.com//37480', 'www.alibaba.com//26186', 'www.alibaba.com//23908', 'www.alibaba.com//26264', 'www.alibaba.com//29915', 'www.alibaba.com//28184', 'www.alibaba.com//25776', 'www.alibaba.com//36826', 'www.alibaba.com//23160', 'www.alibaba.com//30158', 'www.alibaba.com//33365', 'www.alibaba.com//23465', 'www.alibaba.com//36591', 'www.alibaba.com//25888', 'www.alibaba.com//23572', 'www.alibaba.com//35299', 'www.alibaba.com//27918', 'www.alibaba.com//28090', 'www.alibaba.com//36344', 'www.alibaba.com//34065', 'www.alibaba.com//26311', 'www.alibaba.com//32936', 'www.alibaba.com//26274', 'www.alibaba.com//25571', 'www.alibaba.com//29120', 'www.alibaba.com//26931', 'www.alibaba.com//29790', 'www.alibaba.com//27823', 'www.alibaba.com//30294', 'www.alibaba.com//37747', 'www.alibaba.com//26441', 'www.alibaba.com//35249', 'www.alibaba.com//28346', 'www.alibaba.com//25357', 'www.alibaba.com//25909', 'www.alibaba.com//35183', 'www.alibaba.com//35385', 'www.alibaba.com//27924', 'www.alibaba.com//26211', 'www.alibaba.com//29461', 'www.alibaba.com//33133', 'www.alibaba.com//28495'}"
hikvision,ds -2cd4124f-i,NULL,2.0,,,,,"{'www.alibaba.com//36740', 'www.alibaba.com//29545', 'www.alibaba.com//35036', 'www.alibaba.com//28400', 'www.alibaba.com//26908', 'www.alibaba.com//23585', 'www.alibaba.com//35576', 'www.alibaba.com//25596', 'www.alibaba.com//25703', 'www.alibaba.com//25637', 'www.alibaba.com//37293', 'www.alibaba.com//26789', 'www.alibaba.com//26108', 'www.alibaba.com//24733', 'www.alibaba.com//26006', 'www.alibaba.com//34621', 'www.alibaba.com//24524', 'www.alibaba.com//37234', 'www.alibaba.com//27203', 'www.alibaba.com//30397', 'www.alibaba.com//37403', 'www.alibaba.com//26379', 'www.alibaba.com//27934', 'www.alibaba.com//26993', 'www.alibaba.com//26917', 'www.alibaba.com//37919', 'www.alibaba.com//30114', 'www.alibaba.com//23268', 'www.alibaba.com//37442', 'www.alibaba.com//35662', 'www.alibaba.com//26906', 'www.alibaba.com//33924', 'www.alibaba.com//36630'}"
hikvision,ds-2cd4332fwd-i,NULL,3.0,,,,,"{'www.alibaba.com//36181', 'www.alibaba.com//25297', 'www.alibaba.com//35762', 'www.alibaba.com//27814', 'www.alibaba.com//34020', 'www.alibaba.com//24343', 'www.alibaba.com//34905', 'www.alibaba.com//34845', 'www.alibaba.com//27860', 'www.alibaba.com//34351', 'www.alibaba.com//29675', 'www.alibaba.com//33616', 'www.alibaba.com//37066', 'www.alibaba.com//35733', 'www.alibaba.com//25140', 'www.alibaba.com//24837', 'www.alibaba.com//26744', 'www.alibaba.com//23649', 'www.alibaba.com//28662', 'www.alibaba.com//27722', 'www.alibaba.com//29379'}"
hikvision,ds-2cd4332fwd-is,NULL,3.0,,,,,"{'www.alibaba.com//29539', 'www.alibaba.com//23190', 'www.alibaba.com//32792', 'www.alibaba.com//34868', 'www.alibaba.com//26573', 'www.alibaba.com//24942', 'www.alibaba.com//37022', 'www.alibaba.com//34344', 'www.alibaba.com//23623', 'www.alibaba.com//25973', 'www.alibaba.com//23580', 'www.alibaba.com//25647', 'www.alibaba.com//22979', 'www.alibaba.com//27916', 'www.alibaba.com//27080', 'www.alibaba.com//35788', 'www.alibaba.com//36723', 'www.alibaba.com//29487', 'www.alibaba.com//34799', 'www.alibaba.com//24066', 'www.alibaba.com//30594', 'www.alibaba.com//26085'}"
hikvision,ds-2cd2012-i,NULL,,,,,,"{'www.alibaba.com//29130', 'www.alibaba.com//37654', 'www.alibaba.com//25031', 'www.alibaba.com//33072', 'www.alibaba.com//29167', 'www.alibaba.com//34687', 'www.alibaba.com//35197', 'www.alibaba.com//35542', 'www.alibaba.com//36710', 'www.alibaba.com//37796', 'www.alibaba.com//23950', 'www.alibaba.com//27640', 'www.alibaba.com//27396', 'www.alibaba.com//37223', 'www.alibaba.com//34514', 'www.alibaba.com//29136', 'www.alibaba.com//34112', 'www.alibaba.com//27471', 'www.alibaba.com//36557', 'www.alibaba.com//36294', 'www.alibaba.com//29803', 'www.alibaba.com//27199', 'www.alibaba.com//26860', 'www.alibaba.com//35669', 'www.alibaba.com//25211', 'www.alibaba.com//33755', 'www.alibaba.com//34330', 'www.alibaba.com//33559', 'www.alibaba.com//30588', 'www.alibaba.com//27627', 'www.alibaba.com//35472', 'www.alibaba.com//26122', 'www.alibaba.com//24330', 'www.alibaba.com//27550', 'www.alibaba.com//27727', 'www.alibaba.com//24804', 'www.alibaba.com//26891', 'www.alibaba.com//37273', 'www.alibaba.com//33511', 'www.alibaba.com//23954', 'www.alibaba.com//28836', 'www.alibaba.com//33705', 'www.alibaba.com//23797', 'www.alibaba.com//26143', 'www.alibaba.com//29998', 'www.alibaba.com//24735', 'www.alibaba.com//26090', 'www.alibaba.com//36371', 'www.alibaba.com//30329', 'www.alibaba.com//35663', 'www.alibaba.com//35427', 'www.alibaba.com//23657', 'www.alibaba.com//37820', 'www.alibaba.com//29475', 'www.alibaba.com//29429', 'www.alibaba.com//22989', 'www.alibaba.com//36990', 'www.alibaba.com//29264', 'www.alibaba.com//34021', 'www.alibaba.com//33598', 'www.alibaba.com//30263', 'www.alibaba.com//29094', 'www.alibaba.com//23976', 'www.alibaba.com//34103', 'www.alibaba.com//32857', 'www.alibaba.com//6737', 'www.alibaba.com//29326', 'www.alibaba.com//26169', 'www.alibaba.com//35751', 'www.alibaba.com//23450', 'www.alibaba.com//28768', 'www.alibaba.com//22757', 'www.alibaba.com//22968', 'www.alibaba.com//26770', 'www.alibaba.com//23440', 'www.alibaba.com//34981', 'www.alibaba.com//37078', 'www.alibaba.com//23409', 'www.alibaba.com//36696', 'www.alibaba.com//32803', 'www.alibaba.com//24271', 'www.alibaba.com//36771', 'www.alibaba.com//23099', 'www.alibaba.com//24327', 'www.alibaba.com//29590', 'www.alibaba.com//30358', 'www.alibaba.com//27501', 'www.alibaba.com//28341', 'www.alibaba.com//37658', 'www.alibaba.com//35194', 'www.alibaba.com//25115', 'www.alibaba.com//25235', 'www.alibaba.com//28352', 'www.alibaba.com//28613', 'www.alibaba.com//36448', 'www.alibaba.com//28426', 'www.alibaba.com//30001', 'www.alibaba.com//27145', 'www.alibaba.com//29340', 'www.alibaba.com//29805', 'www.alibaba.com//24231', 'www.alibaba.com//23701', 'www.alibaba.com//24008', 'www.alibaba.com//22995', 'www.alibaba.com//27529', 'www.alibaba.com//34368', 'www.alibaba.com//24706', 'www.alibaba.com//34193', 'www.alibaba.com//34887', 'www.alibaba.com//24808', 'www.alibaba.com//36584', 'www.alibaba.com//36396', 'www.alibaba.com//35813', 'www.alibaba.com//29734', 'www.alibaba.com//22920', 'www.alibaba.com//24675', 'www.alibaba.com//27908', 'www.alibaba.com//25316', 'www.alibaba.com//35403', 'www.alibaba.com//36951', 'www.alibaba.com//37610', 'www.alibaba.com//33375', 'www.alibaba.com//22654', 'www.alibaba.com//26055', 'www.alibaba.com//23581', 'www.alibaba.com//22601', 'www.alibaba.com//36444', 'www.alibaba.com//23471', 'www.alibaba.com//30414', 'www.alibaba.com//34470', 'www.alibaba.com//33946', 'www.alibaba.com//35511', 'www.alibaba.com//27570', 'www.alibaba.com//29104', 'www.alibaba.com//28392', 'www.alibaba.com//22930', 'www.alibaba.com//6951', 'www.alibaba.com//30286', 'www.alibaba.com//36313', 'www.alibaba.com//36911', 'www.alibaba.com//24489', 'www.alibaba.com//27244', 'www.alibaba.com//29588', 'www.alibaba.com//27349', 'www.alibaba.com//27646', 'www.alibaba.com//22728', 'www.alibaba.com//37849', 'www.alibaba.com//26202', 'www.alibaba.com//37736', 'www.alibaba.com//35747', 'www.alibaba.com//22871', 'www.alibaba.com//30037', 'www.alibaba.com//24461', 'www.alibaba.com//23732', 'www.alibaba.com//37065', 'www.alibaba.com//22819', 'www.alibaba.com//35179', 'www.alibaba.com//28800', 'www.alibaba.com//34113', 'www.alibaba.com//29529', 'www.alibaba.com//34229'}"
hikvision,ds-2cd2112-i,NULL,,,,,,"{'www.alibaba.com//34137', 'www.alibaba.com//27167', 'www.alibaba.com//26139', 'www.alibaba.com//25953', 'www.alibaba.com//26779', 'www.alibaba.com//28054', 'www.alibaba.com//25379', 'www.alibaba.com//26820', 'www.alibaba.com//37499', 'www.alibaba.com//23852', 'www.alibaba.com//37453', 'www.alibaba.com//33762', 'www.alibaba.com//23894', 'www.alibaba.com//29641', 'www.alibaba.com//24151', 'www.alibaba.com//34576', 'www.alibaba.com//26554', 'www.alibaba.com//29725', 'www.alibaba.com//23192', 'www.alibaba.com//35058', 'www.alibaba.com//29674', 'www.alibaba.com//25175', 'www.alibaba.com//25764', 'www.alibaba.com//26062', 'www.alibaba.com//36585', 'www.alibaba.com//28632', 'www.alibaba.com//23257', 'www.alibaba.com//22752', 'www.alibaba.com//22880', 'www.alibaba.com//23871', 'www.alibaba.com//36328', 'www.alibaba.com//34740', 'www.alibaba.com//37935', 'www.alibaba.com//37144', 'www.alibaba.com//24834', 'www.alibaba.com//33440', 'www.alibaba.com//28923', 'www.alibaba.com//24397', 'www.alibaba.com//37788', 'www.alibaba.com//33787', 'www.alibaba.com//35494', 'www.alibaba.com//34218', 'www.alibaba.com//35550', 'www.alibaba.com//37295', 'www.alibaba.com//26879', 'www.alibaba.com//27675', 'www.alibaba.com//27704', 'www.alibaba.com//34287', 'www.alibaba.com//34138', 'www.alibaba.com//34064', 'www.alibaba.com//28418', 'www.alibaba.com//23861', 'www.alibaba.com//24969', 'www.alibaba.com//36054', 'www.alibaba.com//36017', 'www.alibaba.com//25180', 'www.alibaba.com//27773', 'www.alibaba.com//25306', 'www.alibaba.com//32954', 'www.alibaba.com//34302', 'www.alibaba.com//24747', 'www.alibaba.com//24479', 'www.alibaba.com//22710', 'www.alibaba.com//34459', 'www.alibaba.com//30223', 'www.alibaba.com//24901', 'www.alibaba.com//34389', 'www.alibaba.com//30475', 'www.alibaba.com//34789', 'www.alibaba.com//30581', 'www.alibaba.com//27087', 'www.alibaba.com//23001', 'www.alibaba.com//23971', 'www.alibaba.com//22656', 'www.alibaba.com//27510', 'www.alibaba.com//26111', 'www.alibaba.com//36141', 'www.alibaba.com//28421', 'www.alibaba.com//22965', 'www.alibaba.com//22631', 'www.alibaba.com//37748', 'www.alibaba.com//35604', 'www.alibaba.com//23810', 'www.alibaba.com//34477', 'www.alibaba.com//29365', 'www.alibaba.com//29580', 'www.alibaba.com//36437', 'www.alibaba.com//30267', 'www.alibaba.com//36334', 'www.alibaba.com//34280', 'www.alibaba.com//37599', 'www.alibaba.com//25386', 'www.alibaba.com//27260', 'www.alibaba.com//25905', 'www.alibaba.com//30463', 'www.alibaba.com//35812', 'www.alibaba.com//35324', 'www.alibaba.com//24378', 'www.alibaba.com//28370', 'www.alibaba.com//27702', 'www.alibaba.com//25309', 'www.alibaba.com//29059', 'www.alibaba.com//36910', 'www.alibaba.com//24877', 'www.alibaba.com//34407', 'www.alibaba.com//29110', 'www.alibaba.com//37774', 'www.alibaba.com//25781', 'www.alibaba.com//23284', 'www.alibaba.com//24439', 'www.alibaba.com//27275', 'www.alibaba.com//35124', 'www.alibaba.com//33430', 'www.alibaba.com//29456', 'www.alibaba.com//26785', 'www.alibaba.com//32993', 'www.alibaba.com//24026', 'www.alibaba.com//27819', 'www.alibaba.com//36258', 'www.alibaba.com//37812', 'www.alibaba.com//26249', 'www.alibaba.com//29617', 'www.alibaba.com//25436', 'www.alibaba.com//32770', 'www.alibaba.com//26166', 'www.alibaba.com//36699', 'www.alibaba.com//24648', 'www.alibaba.com//35515', 'www.alibaba.com//24753', 'www.alibaba.com//36773', 'www.alibaba.com//34298', 'www.alibaba.com//27606', 'www.alibaba.com//26958', 'www.alibaba.com//29914', 'www.alibaba.com//22998', 'www.alibaba.com//34291', 'www.alibaba.com//27753', 'www.alibaba.com//27100', 'www.alibaba.com//34849', 'www.alibaba.com//36327', 'www.alibaba.com//26794', 'www.alibaba.com//33979', 'www.alibaba.com//24704', 'www.alibaba.com//34595', 'www.alibaba.com//37891', 'www.alibaba.com//36143', 'www.alibaba.com//23102', 'www.alibaba.com//35814', 'www.alibaba.com//28171', 'www.alibaba.com//30389', 'www.alibaba.com//24027', 'www.alibaba.com//30585', 'www.alibaba.com//34320', 'www.alibaba.com//30587', 'www.alibaba.com//36852', 'www.alibaba.com//7055', 'www.alibaba.com//26543'}"
hikvision,ds-2cd2132-i,NULL,3.0,,,,,"{'www.alibaba.com//23686', 'www.alibaba.com//25329', 'www.alibaba.com//27721', 'www.alibaba.com//27099', 'www.alibaba.com//26201', 'www.alibaba.com//24894', 'www.alibaba.com//28291', 'www.alibaba.com//34354', 'www.alibaba.com//28360', 'www.alibaba.com//34937', 'www.alibaba.com//26721', 'www.alibaba.com//25502', 'www.alibaba.com//37718', 'www.alibaba.com//28596', 'www.alibaba.com//37865', 'www.alibaba.com//29585', 'www.alibaba.com//25631', 'www.alibaba.com//35323', 'www.alibaba.com//24319', 'www.alibaba.com//36637', 'www.alibaba.com//30181', 'www.alibaba.com//28422', 'www.alibaba.com//23418', 'www.alibaba.com//24703', 'www.alibaba.com//22867', 'www.alibaba.com//30134', 'www.alibaba.com//28660', 'www.alibaba.com//35841', 'www.alibaba.com//24612', 'www.alibaba.com//35944', 'www.alibaba.com//26327', 'www.alibaba.com//26145', 'www.alibaba.com//27211', 'www.alibaba.com//25463', 'www.alibaba.com//32669', 'www.alibaba.com//24528', 'www.alibaba.com//33661', 'www.alibaba.com//35445', 'www.alibaba.com//22570', 'www.alibaba.com//34944', 'www.alibaba.com//28224', 'www.alibaba.com//30021', 'www.alibaba.com//22792', 'www.alibaba.com//36263', 'www.alibaba.com//28847', 'www.alibaba.com//29417', 'www.alibaba.com//37682', 'www.alibaba.com//24754', 'www.alibaba.com//36286', 'www.alibaba.com//35901', 'www.alibaba.com//26225', 'www.alibaba.com//30167', 'www.alibaba.com//26712', 'www.alibaba.com//26821', 'www.alibaba.com//23240', 'www.alibaba.com//24409', 'www.alibaba.com//30539', 'www.alibaba.com//23396', 'www.alibaba.com//29613', 'www.alibaba.com//30408', 'www.alibaba.com//37025', 'www.alibaba.com//33667', 'www.alibaba.com//28362', 'www.alibaba.com//27093', 'www.alibaba.com//25232', 'www.alibaba.com//25471', 'www.alibaba.com//35738', 'www.alibaba.com//35898', 'www.alibaba.com//36095', 'www.alibaba.com//23206', 'www.alibaba.com//37209', 'www.alibaba.com//35004', 'www.alibaba.com//34055', 'www.alibaba.com//24634', 'www.alibaba.com//33639', 'www.alibaba.com//26320', 'www.alibaba.com//24360', 'www.alibaba.com//26217', 'www.alibaba.com//29739', 'www.alibaba.com//32689', 'www.alibaba.com//37182', 'www.alibaba.com//7446', 'www.alibaba.com//28367', 'www.alibaba.com//27604', 'www.alibaba.com//36970', 'www.alibaba.com//30498', 'www.alibaba.com//34801', 'www.alibaba.com//27129', 'www.alibaba.com//30241', 'www.alibaba.com//24377', 'www.alibaba.com//36435', 'www.alibaba.com//23439', 'www.alibaba.com//27001', 'www.alibaba.com//30376', 'www.alibaba.com//25284', 'www.alibaba.com//36750', 'www.alibaba.com//25364', 'www.alibaba.com//34012', 'www.alibaba.com//27324', 'www.alibaba.com//30370', 'www.alibaba.com//35842', 'www.alibaba.com//23974', 'www.alibaba.com//26431', 'www.alibaba.com//30303', 'www.alibaba.com//23186', 'www.alibaba.com//29800', 'www.alibaba.com//33887', 'www.alibaba.com//26123', 'www.alibaba.com//24975', 'www.alibaba.com//28606', 'www.alibaba.com//36976', 'www.alibaba.com//27601', 'www.alibaba.com//27970', 'www.alibaba.com//36962', 'www.alibaba.com//25034', 'www.alibaba.com//22836', 'www.alibaba.com//25236', 'www.alibaba.com//28138', 'www.alibaba.com//25619', 'www.alibaba.com//28659', 'www.alibaba.com//35342', 'www.alibaba.com//25044', 'www.alibaba.com//30342', 'www.alibaba.com//26966', 'www.alibaba.com//36069', 'www.alibaba.com//23618', 'www.alibaba.com//22594', 'www.alibaba.com//30606', 'www.alibaba.com//28610', 'www.alibaba.com//22936', 'www.alibaba.com//30549', 'www.alibaba.com//36929', 'www.alibaba.com//30428', 'www.alibaba.com//29029', 'www.alibaba.com//23777'}"
hikvision,ds-2cd2212-i5,NULL,,,,,,"{'www.alibaba.com//28415', 'www.alibaba.com//25142', 'www.alibaba.com//25260', 'www.alibaba.com//25567', 'www.alibaba.com//25938', 'www.alibaba.com//23361', 'www.alibaba.com//36342', 'www.alibaba.com//36545', 'www.alibaba.com//27038', 'www.alibaba.com//27174', 'www.alibaba.com//37628', 'www.alibaba.com//35752', 'www.alibaba.com//33636', 'www.alibaba.com//35440', 'www.alibaba.com//27034', 'www.alibaba.com//29952', 'www.alibaba.com//28263', 'www.alibaba.com//23073', 'www.alibaba.com//33865', 'www.alibaba.com//22877', 'www.alibaba.com//23287', 'www.alibaba.com//24191', 'www.alibaba.com//27890', 'www.alibaba.com//29463', 'www.alibaba.com//32789', 'www.alibaba.com//24109', 'www.alibaba.com//32752', 'www.alibaba.com//36518', 'www.alibaba.com//23568', 'www.alibaba.com//33806', 'www.alibaba.com//29840', 'www.alibaba.com//29796', 'www.alibaba.com//28487', 'www.alibaba.com//36273', 'www.alibaba.com//24607', 'www.alibaba.com//24997', 'www.alibaba.com//24065', 'www.alibaba.com//27621', 'www.alibaba.com//30392', 'www.alibaba.com//34829', 'www.alibaba.com//23978', 'www.alibaba.com//35080', 'www.alibaba.com//25646', 'www.alibaba.com//27040', 'www.alibaba.com//27121', 'www.alibaba.com//35304', 'www.alibaba.com//28942', 'www.alibaba.com//22624', 'www.alibaba.com//24731', 'www.alibaba.com//35697', 'www.alibaba.com//36939', 'www.alibaba.com//34428', 'www.alibaba.com//35551', 'www.alibaba.com//27899', 'www.alibaba.com//35059', 'www.alibaba.com//35767', 'www.alibaba.com//27116', 'www.alibaba.com//24252', 'www.alibaba.com//32694', 'www.alibaba.com//24474', 'www.alibaba.com//23022', 'www.alibaba.com//29260', 'www.alibaba.com//24355', 'www.alibaba.com//25520', 'www.alibaba.com//36101', 'www.alibaba.com//30386', 'www.alibaba.com//24503', 'www.alibaba.com//34179', 'www.alibaba.com//37673', 'www.alibaba.com//37220', 'www.alibaba.com//37204', 'www.alibaba.com//24426', 'www.alibaba.com//24991', 'www.alibaba.com//34574', 'www.alibaba.com//34013', 'www.alibaba.com//33688', 'www.alibaba.com//26665', 'www.alibaba.com//24101', 'www.alibaba.com//22987', 'www.alibaba.com//35674', 'www.alibaba.com//27729', 'www.alibaba.com//30524', 'www.alibaba.com//22951', 'www.alibaba.com//24720', 'www.alibaba.com//29049', 'www.alibaba.com//29306', 'www.alibaba.com//28870', 'www.alibaba.com//25736', 'www.alibaba.com//36563', 'www.alibaba.com//29720', 'www.alibaba.com//29576', 'www.alibaba.com//23955', 'www.alibaba.com//27295', 'www.alibaba.com//26873', 'www.alibaba.com//35483', 'www.alibaba.com//37266', 'www.alibaba.com//32874', 'www.alibaba.com//24365', 'www.alibaba.com//23567', 'www.alibaba.com//25742', 'www.alibaba.com//29343', 'www.alibaba.com//23840', 'www.alibaba.com//24286', 'www.alibaba.com//26241', 'www.alibaba.com//36055', 'www.alibaba.com//25543', 'www.alibaba.com//33491', 'www.alibaba.com//6818', 'www.alibaba.com//30430'}"
